LiteLLM Model Name,Input Cost,Output Cost
openai/gpt-oss-20b,-,-
openai/gpt-oss-20b,-,-
openai/gpt-oss-20b,-,-
openai/gpt-oss-20b,-,-
openai/gpt-5,1.25,10
openai/gpt-5-mini,0.25,2
openai/gpt-5-nano,0.05,0.4
openai/gpt-5-chat-latest,1.25,10
openai/gpt-5-2025-08-07,1.25,10
openai/gpt-5-mini-2025-08-07,0.25,2
openai/gpt-5-nano-2025-08-07,0.05,0.4
openai/o3-pro,20,80
openai/o3,2,8
openai/o4-mini,1.1,4.4
openai/gpt-4.1,2,8
openai/gpt-4.1-mini,0.4,1.6
openai/gpt-4.1-nano,0.1,0.4
openai/gpt-4.5-preview,75,150
openai/o1-pro,150,600
openai/o3-mini,1.1,4.4
openai/o1,15,60
openai/o1-preview,15,60
openai/o1-mini,1.1,4.4
openai/gpt-4o-mini,0.15,0.6
openai/gpt-4o,2.5,10
openai/gpt-4-turbo,10,30
openai/gpt-3.5-turbo,1.5,2
openai/gpt-4,30,60
openai/text-embedding-3-large,0.13,-
openai/text-embedding-3-small,0.02,-
anthropic/claude-sonnet-4-20250514,3,15
anthropic/claude-opus-4-20250514,15,75
anthropic/claude-3-7-sonnet-20250219,3,15
anthropic/claude-3-opus-20240229,15,75
anthropic/claude-3-5-sonnet-20241022,3,15
anthropic/claude-3-5-haiku-20241022,0.8,4
anthropic/claude-3-sonnet-20240229,-,-
anthropic/claude-3-haiku-20240307,0.25,1.25
gemini/gemini-2.5-pro,1.25,10
gemini/gemini-2.5-flash,0.3,2.5
gemini/gemini-2.0-flash-thinking-exp-1219,-,-
gemini/gemini-2.0-flash-thinking-exp,-,-
gemini/gemini-2.0-flash-exp,-,-
gemini/gemini-2.0-flash-lite,0.07,0.3
gemini/gemini-2.0-flash,0.1,0.4
gemini/gemini-1.5-flash,0.07,0.3
gemini/gemini-1.5-flash-8b,-,-
gemini/gemini-1.5-pro,3.5,10.5
gemini/text-embedding-004,-,-
xai/grok-4-0709,3,15
xai/grok-3-beta,3,15
xai/grok-3-fast-beta,5,25
xai/grok-3-mini-beta,0.3,0.5
xai/grok-3-mini-fast-beta,0.6,4
xai/grok-3,3,15
xai/grok-3-fast,-,-
xai/grok-3-mini,0.3,0.5
xai/grok-3-mini-fast,0.6,4
